ID,Season,Date,Home Team Api ID,Away Team Api ID,Home Team Goals,Away Team Goals
617,2010/2011,2011-02-02,9994,9984,2,1
618,2010/2011,2010-12-17,8571,9985,2,1
623,2010/2011,2011-02-02,9987,9997,1,1
624,2010/2011,2011-02-02,9986,9993,2,0
625,2010/2011,2011-02-02,8203,8571,1,0
628,2010/2011,2010-12-26,9984,9985,1,0
630,2010/2011,2011-02-26,9985,8203,3,0
632,2010/2011,2011-02-27,9997,9984,0,3
633,2010/2011,2010-12-30,10000,9991,2,2
634,2010/2011,2010-12-30,9994,9987,2,2
638,2010/2011,2011-01-23,9991,9994,2,1
639,2010/2011,2011-01-22,9987,8571,3,2
640,2010/2011,2011-01-22,9993,10000,3,0
641,2010/2011,2011-01-22,9986,8203,0,0
647,2010/2011,2011-01-30,9997,9991,1,1
648,2010/2011,2011-01-28,10000,9987,0,1
650,2010/2011,2011-01-29,8571,9984,2,1
656,2010/2011,2011-02-06,9993,9994,1,1
657,2010/2011,2011-02-05,9986,10000,2,0
660,2010/2011,2011-02-05,9984,8203,0,1
663,2010/2011,2011-02-13,9985,9987,0,2
665,2010/2011,2011-02-12,9994,9986,1,1
666,2010/2011,2011-02-13,8571,9991,0,1
670,2010/2011,2011-02-20,9991,9985,4,1
671,2010/2011,2011-02-19,9987,8203,1,0
672,2010/2011,2011-02-19,9993,8571,3,1
674,2010/2011,2011-02-19,9986,9997,1,0
679,2010/2011,2011-03-05,9997,9993,1,0
680,2010/2011,2011-03-05,9994,10000,2,1
681,2010/2011,2011-03-05,8571,9986,3,0
682,2010/2011,2011-03-05,8203,9991,1,1
686,2010/2011,2011-03-12,9991,9984,1,0
688,2010/2011,2011-03-12,9993,8203,1,1
689,2010/2011,2011-03-12,10000,9997,1,2
690,2010/2011,2011-03-12,9986,9985,0,2
694,2010/2011,2010-08-14,9985,9994,3,3
696,2010/2011,2010-08-15,9987,9986,5,0
697,2010/2011,2010-08-14,8571,9997,2,0
702,2010/2011,2011-03-20,9985,9993,1,0
703,2010/2011,2011-03-20,9997,9994,0,2
704,2010/2011,2011-03-19,8571,10000,2,2
708,2010/2011,2011-03-20,9984,9987,0,1
711,2010/2011,2010-08-20,9997,9985,1,0
712,2010/2011,2010-08-21,10000,9984,4,0
713,2010/2011,2010-08-22,9986,9991,1,3
718,2010/2011,2010-08-28,9985,8571,1,0
719,2010/2011,2010-08-29,9991,9993,1,0
722,2010/2011,2010-08-28,8203,9997,0,0
724,2010/2011,2010-08-28,9984,9994,1,1
726,2010/2011,2010-09-11,9985,9984,2,0
727,2010/2011,2010-09-11,9993,9986,1,0
731,2010/2011,2010-09-11,8571,8203,1,0
734,2010/2011,2010-09-19,9991,10000,5,3
735,2010/2011,2010-09-18,9987,9994,3,1
737,2010/2011,2010-09-17,8203,9985,1,0
740,2010/2011,2010-09-18,9984,9997,4,2
742,2010/2011,2010-09-22,9985,9986,2,1
743,2010/2011,2010-09-21,9997,9987,0,2
744,2010/2011,2010-09-22,10000,9993,4,3
745,2010/2011,2010-09-22,9994,9991,3,2
747,2010/2011,2010-09-22,8203,9984,2,2
750,2010/2011,2010-09-25,9991,9997,2,0
751,2010/2011,2010-09-25,9987,10000,3,0
756,2010/2011,2010-09-25,9984,8571,2,1
758,2011/2012,2011-07-30,9998,9985,1,1
759,2011/2012,2011-07-30,9987,9993,3,1
760,2011/2012,2011-07-30,9991,9984,0,1
761,2011/2012,2011-07-30,9994,10000,0,0
763,2011/2012,2011-07-30,8203,9997,2,1
767,2011/2012,2011-10-15,9997,9993,2,4
770,2011/2012,2011-10-15,9994,9987,3,1
771,2011/2012,2011-10-15,8203,9984,1,2
772,2011/2012,2011-10-15,9998,8571,3,1
773,2011/2012,2011-10-23,9985,10000,1,0
774,2011/2012,2011-10-22,9987,9998,2,0
775,2011/2012,2011-10-22,9991,9994,3,1
776,2011/2012,2011-10-22,9993,8203,2,2
780,2011/2012,2011-10-22,9984,1773,2,0
783,2011/2012,2011-10-30,9997,9985,1,1
784,2011/2012,2011-10-29,10000,9984,1,1
785,2011/2012,2011-10-29,1773,9993,3,2
786,2011/2012,2011-10-29,9994,8571,1,4
788,2011/2012,2011-10-29,9998,9991,1,1
790,2011/2012,2011-11-05,9987,8571,2,2
791,2011/2012,2011-11-04,9991,8203,6,2
792,2011/2012,2011-11-05,9993,9998,2,0
793,2011/2012,2011-11-05,10000,9997,0,0
800,2011/2012,2011-11-18,1773,9985,1,3
801,2011/2012,2011-11-19,9994,9993,1,1
802,2011/2012,2011-11-19,8571,9991,0,4
803,2011/2012,2011-11-19,8203,10000,1,1
805,2011/2012,2011-11-25,9985,8203,3,2
806,2011/2012,2011-11-27,9991,9987,2,0
807,2011/2012,2011-11-26,9993,8571,0,1
808,2011/2012,2011-11-26,9997,1773,2,1
812,2011/2012,2011-11-26,9984,9994,1,1
814,2011/2012,2011-12-04,9985,9991,0,0
815,2011/2012,2011-12-02,9993,9987,2,0
816,2011/2012,2011-12-03,9997,9998,2,3
817,2011/2012,2011-12-03,10000,9994,1,1
820,2011/2012,2011-12-03,9984,8571,1,2
823,2011/2012,2011-12-10,1773,10000,2,2
824,2011/2012,2011-12-10,9994,9985,1,1
827,2011/2012,2011-12-10,9998,9984,0,2
828,2011/2012,2011-12-10,9991,9993,0,1
830,2011/2012,2011-12-18,9985,9987,0,0
831,2011/2012,2011-12-17,9997,8203,0,0
832,2011/2012,2011-12-17,10000,9998,2,3
836,2011/2012,2011-12-18,9984,9991,0,1
838,2011/2012,2011-12-26,9987,9984,4,2
841,2011/2012,2011-12-26,9994,9997,0,0
842,2011/2012,2011-12-26,8571,9985,2,0
843,2011/2012,2011-12-26,8203,1773,2,2
846,2011/2012,2011-08-07,9985,9994,3,1
847,2011/2012,2011-08-06,9993,9991,2,2
849,2011/2012,2011-08-06,10000,1773,2,1
852,2011/2012,2011-08-06,9984,9998,1,1
854,2011/2012,2012-01-14,9985,9993,6,1
855,2011/2012,2012-01-14,9997,8571,0,0
856,2011/2012,2012-01-15,10000,9987,1,1
857,2011/2012,2012-01-14,1773,9994,1,1
858,2011/2012,2012-01-14,8203,9998,4,1
862,2011/2012,2012-01-20,9987,9997,2,1
863,2011/2012,2012-01-21,9991,10000,0,0
864,2011/2012,2012-01-21,9993,9984,4,0
867,2011/2012,2012-01-21,9998,1773,2,2
871,2011/2012,2012-01-26,9985,9998,2,1
873,2011/2012,2012-01-25,1773,8571,0,2
874,2011/2012,2012-01-25,8203,9987,3,2
876,2011/2012,2012-01-25,10000,9993,1,0
877,2011/2012,2012-01-28,9987,1773,5,0
878,2011/2012,2012-01-28,9991,9997,6,0
