Ad System,Day,Campaign ID,Group ID,Ad ID,Keyword ID,Cost,Shows,Clicks
yandex.direct,2019-03-04,1329647,167879033,408702069,572135951,6.71,37,1
yandex.direct,2019-03-04,1329647,167879043,408702045,572136055,8.16,67,1
yandex.direct,2019-03-04,1329621,167879119,408702009,572132685,145.82,441,7
google.adwords,2019-03-04,1329705,167881797,414199651,572141495,0.0,10,0
yandex.direct,2019-03-04,1329641,167879345,408701993,572133101,0.0,2,0
yandex.direct,2019-03-04,1329647,167879035,408702029,572135967,0.0,3,0
yandex.direct,2019-03-04,1329625,167879081,408701699,572132391,0.0,17,0
google.adwords,2019-03-04,1329671,167881635,414228657,,7.2387,66,1
yandex.direct,2019-03-04,1329639,167879125,408701783,572134285,0.0,25,0
yandex.direct,2019-03-04,1329639,167879131,408701805,572134319,0.0,35,0
google.adwords,2019-03-04,1329693,167881761,414199551,572141493,0.0,2,0
yandex.direct,2019-03-04,1329623,167879329,408701735,572135641,23.55,8,1
yandex.direct,2019-03-04,1329633,167879415,408701665,572133453,0.0,1,0
yandex.direct,2019-03-04,1329609,167879299,408701507,572132957,0.0,1,0
yandex.direct,2019-03-04,1329645,167879277,408702071,572135263,0.0,2,0
yandex.direct,2019-03-04,1329627,167879135,408701915,572132879,0.0,1,0
yandex.direct,2019-03-04,1329611,167879047,408702099,572133825,0.0,3,0
yandex.direct,2019-03-04,1329631,167879189,408702131,572134703,0.0,1,0
yandex.direct,2019-03-04,1329631,167879229,408701275,572134879,0.0,3,0
yandex.direct,2019-03-04,1329635,167879165,408701621,572134563,0.0,1,0
yandex.direct,2019-03-04,1329637,167879371,408701443,572135905,49.09,2,1
yandex.direct,2019-03-04,1329629,167879133,408701923,572132811,0.0,1,0
google.adwords,2019-03-04,1329685,167881799,414199661,572141623,0.0,6,0
yandex.direct,2019-03-04,1329639,167879131,408701805,572134323,0.0,2,0
yandex.direct,2019-03-04,1329641,167879345,408701991,572133111,0.0,3,0
google.adwords,2019-03-04,1329699,167881547,414199149,572139939,0.0,2,0
yandex.direct,2019-03-04,1329645,167879277,408702071,572135249,0.0,2,0
yandex.direct,2019-03-04,1329643,167879103,408701843,572134237,0.0,9,0
yandex.direct,2019-03-04,1329623,167879329,408701735,572135675,0.0,2,0
yandex.direct,2019-03-04,1329647,167879043,408702043,572136047,0.0,190,0
yandex.direct,2019-03-04,1329625,167879085,408701709,572132423,0.0,2,0
yandex.direct,2019-03-04,1329639,167879129,408701801,572134313,0.0,1,0
yandex.direct,2019-03-04,1329631,167879271,408701357,572135197,0.0,2,0
yandex.direct,2019-03-04,1329629,167879133,408701923,572132755,0.0,1,0
yandex.direct,2019-03-04,1329629,167879133,408701923,572132793,0.0,1,0
google.adwords,2019-03-04,1329701,167881733,414199545,572141639,0.0,1,0
yandex.direct,2019-03-04,1329613,167879313,414198681,572135505,0.0,3,0
yandex.direct,2019-03-04,1329621,167879119,408702007,572132689,0.0,493,0
yandex.direct,2019-03-04,1329633,167879405,408701639,572133427,0.0,11,0
google.adwords,2019-03-04,1329689,167881701,414199447,572139695,0.0,5,0
yandex.direct,2019-03-04,1329633,167879393,408701573,572133387,0.0,1,0
google.adwords,2019-03-04,1329689,167881665,414199413,572139841,0.0,1,0
yandex.direct,2019-03-04,1329613,167879321,414198695,572135575,0.0,2,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132429,0.0,21,0
yandex.direct,2019-03-04,1329631,167879195,408702143,572134743,0.0,2,0
google.adwords,2019-03-04,1329667,167881623,414199333,572140299,97.31,1,1
yandex.direct,2019-03-04,1329625,167879085,408701707,572132445,0.0,6,0
yandex.direct,2019-03-04,1329619,167879365,408701395,572133195,0.0,2,0
yandex.direct,2019-03-04,1329633,167879405,408701639,572133425,0.0,3,0
yandex.direct,2019-03-04,1329619,167879365,408701393,572133193,0.0,1,0
yandex.direct,2019-03-04,1329627,167879135,408701915,572132851,0.0,1,0
yandex.direct,2019-03-04,1329639,167879131,408701809,572134319,0.0,1,0
google.adwords,2019-03-04,1329665,167881509,414199099,572141049,0.0,3,0
yandex.direct,2019-03-04,1329637,167879371,408701441,572135895,0.0,2,0
yandex.direct,2019-03-04,1329641,167879357,408702047,572133147,0.0,14,0
yandex.direct,2019-03-04,1329641,167879345,408701993,572133105,0.0,1,0
yandex.direct,2019-03-04,1329643,167879089,408701813,572134145,0.0,4,0
yandex.direct,2019-03-04,1329619,167879361,408701387,572133177,0.0,1,0
yandex.direct,2019-03-04,1329645,167879287,408701775,572135369,0.0,10,0
yandex.direct,2019-03-04,1329635,167879159,414198709,572134491,0.0,1,0
yandex.direct,2019-03-04,1329647,167879043,408702043,572136061,0.0,6,0
yandex.direct,2019-03-04,1329619,167879363,408701391,572133187,0.0,3,0
yandex.direct,2019-03-04,1329637,167879371,408701441,572135909,0.0,2,0
